ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country,Unnamed: 18
205643,GAN,354,36.3399,140.475,29.2074,2019-01-02,20:00,2019-01-02,11:00,2,,,clear,Orion,,,Japan,
205644,GAN,355,33.7035,130.427,36.5851,2019-01-02,23:37,2019-01-02,14:37,3,,,clear,Orion,,,Japan,
205645,GAN,356,35.9064,139.579,12.2667,2019-01-02,21:50,2019-01-02,12:50,3,,,clear,Orion,,,Japan,
205646,GAN,357,35.3241,139.443,7.78409,2019-01-02,23:54,2019-01-02,14:54,2,,,clear,Orion,,,Japan,
205648,GAN,359,35.7583,139.516,54.4732,2019-01-03,00:12,2019-01-02,15:12,-9999,,,1/4 of sky,Orion,,,Japan,
205649,GAN,361,35.7387,139.849,5.97972,2019-01-03,00:32,2019-01-02,15:32,2,,,clear,Orion,,,Japan,
205650,GAN,362,33.5162,130.564,92.1694,2019-01-03,00:57,2019-01-02,15:57,4,,,1/4 of sky,Orion,,,Japan,
205652,GAN,364,35.7862,139.684,5.47715,2019-01-03,01:03,2019-01-02,16:03,-9999,,,1/2 of sky,Orion,,,Japan,
205664,GAN,379,36.6614,137.32,72.6993,2019-01-02,22:30,2019-01-02,13:30,4,,,1/4 of sky,Orion,,,Japan,
205680,GAN,396,34.7498,135.512,3.22303,2019-01-03,01:00,2019-01-02,16:00,3,,,1/4 of sky,Orion,,,Japan,
205681,GAN,398,35.7067,139.868,1.95672,2019-01-02,01:00,2019-01-01,16:00,2,,,clear,Orion,,,Japan,
205682,GAN,399,34.1774,131.461,42.3412,2019-01-02,00:00,2019-01-02,00:00,4,,,1/4 of sky,Orion,,,Japan,
205683,GAN,400,36.1688,139.542,16.265,2019-01-02,23:40,2019-01-02,14:40,2,,,clear,Orion,,,Japan,
205686,GAN,403,35.5997,139.342,144.054,2019-01-03,18:09,2019-01-03,09:09,1,,,1/4 of sky,Orion,,,Japan,
205687,GAN,404,35.7926,139.447,81.903,2019-01-03,18:54,2019-01-03,09:54,2,,,clear,Orion,,,Japan,
205688,GAN,405,35.7928,139.447,82.3563,2019-01-03,19:04,2019-01-03,10:04,2,,,clear,Orion,,,Japan,
205689,GAN,406,35.8201,139.576,17.6803,2019-01-03,19:50,2019-01-03,10:50,-9999,,,clear,Orion,,,Japan,
205690,GAN,407,35.6318,140.109,24.5475,2019-01-03,20:02,2019-01-03,11:02,2,,,clear,Orion,,,Japan,
205691,GAN,408,35.7488,139.683,32.7426,2019-01-03,20:28,2019-01-03,11:28,-9999,,,clear,Orion,,,Japan,
205692,GAN,409,36.1269,140.083,26.8564,2019-01-03,20:26,2019-01-03,11:26,4,,,clear,Orion,,,Japan,
205693,GAN,410,34.8899,136.94,2.93973,2019-01-03,20:36,2019-01-03,11:36,3,,,clear,Orion,,,Japan,
205694,GAN,411,35.7365,139.533,61.9523,2019-01-03,20:42,2019-01-03,11:42,1,,,1/4 of sky,Orion,,,Japan,
205695,GAN,412,35.7455,139.703,36.4234,2019-01-03,20:40,2019-01-03,11:40,3,,,clear,Orion,,,Japan,
205696,GAN,413,35.664,139.858,2.30876,2019-01-03,20:48,2019-01-03,11:48,-9999,,,clear,Orion,,,Japan,
205697,GAN,414,36.0093,138.113,763.09,2019-01-03,20:58,2019-01-03,11:58,3,,,clear,Orion,,,Japan,
205698,GAN,415,38.3264,140.882,42.4727,2019-01-01,23:35,2019-01-01,14:35,4,,,clear,Orion,,  ,Japan,
205699,GAN,417,34.9771,138.383,24.1585,2019-01-03,21:23,2019-01-03,12:23,3,,,clear,Orion,,,Japan,
205700,GAN,418,35.869,139.609,9.71315,2019-01-03,21:38,2019-01-03,12:38,3,,,clear,Orion,,,Japan,
205701,GAN,419,36.2163,137.974,592.648,2019-01-03,21:40,2019-01-03,12:40,3,,,clear,Orion,,,Japan,
205702,GAN,420,35.6445,139.736,7.14117,2019-01-03,21:59,2019-01-03,12:59,-9999,,,clear,Orion,,,Japan,
205703,GAN,421,35.6445,139.736,7.14117,2019-01-03,21:59,2019-01-03,12:59,-9999,,,clear,Orion,,,Japan,
205704,GAN,422,35.7705,139.683,13.1024,2019-01-03,22:01,2019-01-03,13:01,-9999,,,clear,Orion,,,Japan,
205706,GAN,424,35.6587,139.883,-0.140013,2019-01-03,22:31,2019-01-03,13:31,1,,,clear,Orion,,,Japan,
205707,GAN,425,35.682,139.928,2.17052,2019-01-03,21:32,2019-01-03,12:32,2,,,clear,Orion,,,Japan,
205708,GAN,426,35.7341,139.8,1.71723,2019-01-03,21:43,2019-01-03,12:43,3,,,clear,Orion,,,Japan,
205709,GAN,427,35.3436,139.431,15.1251,2019-01-03,23:02,2019-01-03,14:02,2,,,clear,Orion,,,Japan,
205710,GAN,430,35.7033,139.908,4.51053,2019-01-02,20:13,2019-01-02,11:13,1,,,1/4 of sky,Orion,,,Japan,
205711,GAN,431,35.9618,138.256,1203.55,2019-01-03,23:54,2019-01-03,14:54,5,,,clear,Orion,,,Japan,
205712,GAN,432,35.6532,140.172,16.1117,2019-01-04,00:06,2019-01-03,15:06,3,,,clear,Orion,,,Japan,
205713,GAN,433,35.7442,139.733,26.7283,2019-01-04,00:08,2019-01-03,15:08,1,,,clear,Orion,,,Japan,
205714,GAN,434,35.6843,139.903,3.46715,2019-01-04,22:12,2019-01-04,13:12,3,,,clear,Orion,,,Japan,
205716,GAN,436,36.3897,140.252,46.7581,2019-01-04,01:27,2019-01-03,16:27,3,,,clear,Orion,,,Japan,
205717,GAN,438,36.3897,140.252,46.7581,2019-01-04,01:30,2019-01-03,16:30,3,,,clear,Orion,,,Japan,
205725,GAN,448,36.1032,138.197,1916.93,2019-01-02,21:00,2019-01-02,12:00,3,,,clear,Orion,,,Japan,
205736,GAN,462,31.5968,130.512,127.875,2019-12-31,19:11,2019-12-31,10:11,2,,,clear,Perseus,,,Japan,
205748,GAN,478,35.3774,139.536,16.5015,2019-01-02,22:00,2019-01-02,13:00,2,,,1/4 of sky,Orion,,,Japan,
205749,GAN,479,35.7255,139.745,19.8547,2019-01-03,20:21,2019-01-03,11:21,1,,,clear,Orion,,,Japan,
205750,GAN,480,36.3087,139.831,38.1451,2019-01-04,17:31,2019-01-04,08:31,4,,,1/2 of sky,Orion,,,Japan,
205751,GAN,483,35.6374,139.658,38.2612,2019-01-04,19:00,2019-01-04,10:00,2,,,1/4 of sky,Orion,,,Japan,
205752,GAN,484,35.504,139.693,4.00063,2019-01-03,20:30,2019-01-03,11:30,3,,,clear,Orion,,,Japan,
205753,GAN,485,35.7236,139.75,26.9655,2019-01-04,19:24,2019-01-04,10:24,-9999,,,clear,Orion,,,Japan,
205754,GAN,486,35.7521,139.738,10.5054,2019-01-04,19:40,2019-01-04,10:40,-9999,,,clear,Orion,,,Japan,
205755,GAN,487,35.9867,139.741,9.29791,2019-01-04,19:44,2019-01-04,10:44,2,,,clear,Orion,,,Japan,
205756,GAN,488,35.7563,139.712,24.2056,2019-01-04,19:57,2019-01-04,10:57,2,,,1/4 of sky,Orion,,,Japan,
205758,GAN,490,35.4294,139.507,46.5757,2019-01-04,20:58,2019-01-04,11:58,3,,,1/4 of sky,Orion,,,Japan,
205759,GAN,491,35.4446,139.637,13.2742,2019-01-04,21:18,2019-01-04,12:18,1,,,1/2 of sky,Orion,,,Japan,
205760,GAN,492,35.8652,139.74,19.9433,2019-01-04,21:35,2019-01-04,12:35,2,,,clear,Orion,,,Japan,
205761,GAN,493,35.7336,139.739,25.876,2019-01-04,21:37,2019-01-04,12:37,-9999,,,1/4 of sky,Orion,,,Japan,
205762,GAN,494,35.6911,139.56,55.613,2019-01-04,21:41,2019-01-04,12:41,-9999,,,1/4 of sky,Orion,,,Japan,
205763,GAN,496,38.6368,140.545,799.713,2019-01-02,22:05,2019-01-02,13:05,2,,,clear,Orion,,,Japan,
205764,GAN,497,35.7767,140.001,30.1141,2019-01-04,22:12,2019-01-04,13:12,2,,,1/2 of sky,Orion,,,Japan,
205766,GAN,499,35.7833,139.779,6.0,2019-01-04,22:25,2019-01-04,13:25,2,,,1/4 of sky,Orion,,,Japan,
205767,GAN,500,35.7025,139.665,32.4046,2019-01-04,23:39,2019-01-04,14:39,-9999,,,1/4 of sky,Orion,,,Japan,
205769,GAN,502,35.8856,139.926,21.1766,2019-01-01,20:58,2019-01-01,11:58,3,,,clear,Orion,,,Japan,
205772,GAN,510,35.7061,138.652,678.294,2019-01-04,21:34,2019-01-04,12:34,2,,,clear,Orion,,,Japan,
205775,GAN,513,35.5919,139.706,24.1231,2019-01-04,23:30,2019-01-04,14:30,1,,,1/4 of sky,Orion,,,Japan,
205777,GAN,515,35.7254,139.622,50.1471,2019-01-04,23:53,2019-01-04,14:53,-9999,,,clear,Orion,,,Japan,
205778,GAN,516,36.6433,138.313,406.832,2019-01-05,00:05,2019-01-04,15:05,4,,,1/4 of sky,Orion,,,Japan,
205782,GAN,520,35.9423,139.669,12.6185,2019-01-01,12:10,2019-01-01,03:10,3,,,clear,Orion,,,Japan,
205790,GAN,529,35.6642,138.568,269.0,2019-01-03,22:00,2019-01-03,13:00,4,,,clear,Orion,,,Japan,
205793,GAN,532,36.1076,140.046,26.0107,2019-01-04,19:12,2019-01-04,10:12,2,,,clear,Orion,,,Japan,
205794,GAN,534,35.7505,139.696,36.5203,2019-01-04,20:00,2019-01-04,11:00,2,,,1/2 of sky,Orion,,,Japan,
205795,GAN,535,35.5052,139.625,35.366,2019-01-05,18:50,2019-01-05,09:50,2,,,clear,Orion,,,Japan,
205796,GAN,536,35.5052,139.625,35.366,2019-01-05,19:02,2019-01-05,10:02,2,,,clear,Orion,,,Japan,
205797,GAN,537,35.8597,139.989,23.9343,2019-01-05,19:14,2019-01-05,10:14,2,,,clear,Orion,,,Japan,
205798,GAN,538,35.8595,139.989,21.1357,2019-01-05,19:18,2019-01-05,10:18,2,,,clear,Orion,,,Japan,
205799,GAN,539,34.6073,137.179,16.6409,2019-01-05,19:21,2019-01-05,10:21,3,,,clear,Orion,,,Japan,
205800,GAN,540,35.7178,139.579,54.8101,2019-01-05,19:25,2019-01-05,10:25,2,,,1/4 of sky,Orion,,,Japan,
205801,GAN,541,35.9772,139.595,18.1589,2019-01-05,19:43,2019-01-05,10:43,2,,,clear,Orion,,,Japan,
205802,GAN,542,35.7326,139.75,26.0783,2019-01-05,19:51,2019-01-05,10:51,-9999,,,clear,Orion,,,Japan,
205804,GAN,544,35.7107,139.801,5.49999,2019-01-05,19:53,2019-01-05,10:53,2,,,clear,Orion,,,Japan,
205805,GAN,545,35.7276,139.879,3.69589,2019-01-05,19:55,2019-01-05,10:55,3,,,clear,Orion,,,Japan,
205806,GAN,546,35.7659,139.693,29.8989,2019-01-05,20:14,2019-01-05,11:14,2,,,clear,Orion,,,Japan,
205807,GAN,547,36.404,139.345,100.525,2019-01-05,20:21,2019-01-05,11:21,2,,,clear,Orion,,,Japan,
205808,GAN,548,35.7178,139.566,59.4304,2019-01-05,20:24,2019-01-05,11:24,3,,,clear,Orion,,,Japan,
205809,GAN,549,35.8439,139.435,66.3709,2019-01-05,20:26,2019-01-05,11:26,3,,,clear,Orion,,,Japan,
205810,GAN,550,35.931,140.166,15.876,2019-01-05,20:25,2019-01-05,11:25,2,,,clear,Orion,,,Japan,
205813,GAN,553,35.5779,139.685,18.3979,2019-01-05,20:32,2019-01-05,11:32,2,,,1/4 of sky,Orion,,,Japan,
205814,GAN,554,35.8425,139.677,7.9014,2019-01-05,20:36,2019-01-05,11:36,2,,,clear,Orion,,,Japan,
205815,GAN,555,35.8526,139.416,79.98,2019-01-05,20:40,2019-01-05,11:40,3,,,clear,Orion,,Date: 2019/01/05  Time: 20:41  Latitude: 35.85  Longitude: 139.42  Altitude: 79.98,Japan,
205816,GAN,557,35.8527,139.416,79.5001,2019-01-05,20:49,2019-01-05,11:49,3,,,clear,Orion,,,Japan,
205817,GAN,558,35.4907,139.636,11.0021,2019-01-05,20:46,2019-01-05,11:46,3,,,clear,Orion,,,Japan,
205818,GAN,559,35.644,140.114,32.1156,2019-01-05,21:03,2019-01-05,12:03,2,,,1/4 of sky,Orion,,,Japan,
205819,GAN,560,39.7815,140.073,17.7845,2019-01-05,21:06,2019-01-05,12:06,4,,,1/4 of sky,Orion,,,Japan,
205820,GAN,561,35.9596,139.968,12.6082,2019-01-05,21:11,2019-01-05,12:11,3,,,clear,Orion,,,Japan,
205821,GAN,562,35.6087,139.591,23.0767,2019-01-05,21:16,2019-01-05,12:16,-9999,,,1/4 of sky,Orion,,,Japan,
205822,GAN,563,35.857,139.649,21.8099,2019-01-05,21:11,2019-01-05,12:11,3,,,clear,Orion,,,Japan,
205823,GAN,564,35.9452,139.666,20.604,2019-01-05,21:27,2019-01-05,12:27,2,,,clear,Orion,,,Japan,
205824,GAN,565,35.783,139.718,8.5,2019-01-05,21:27,2019-01-05,12:27,2,,,1/4 of sky,Orion,,,Japan,
205825,GAN,566,36.2048,138.253,1.67633,2019-01-05,21:34,2019-01-05,12:34,2,,,clear,Orion,,,Japan,
205828,GAN,569,36.1136,139.796,15.6136,2019-01-05,21:50,2019-01-05,12:50,2,,,clear,Orion,,,Japan,
205829,GAN,570,35.9357,139.433,30.9576,2019-01-05,21:57,2019-01-05,12:57,2,,,clear,Orion,,,Japan,
205830,GAN,571,35.7265,139.695,31.0278,2019-01-05,22:13,2019-01-05,13:13,2,,,clear,Orion,,,Japan,
205831,GAN,573,36.1355,139.391,30.0526,2019-01-05,22:26,2019-01-05,13:26,3,,,clear,Orion,,,Japan,
205832,GAN,575,35.5249,138.742,846.225,2019-01-05,22:00,2019-01-05,13:00,5,,,clear,Orion,,,Japan,
205833,GAN,577,35.7041,139.62,49.8056,2019-01-04,21:30,2019-01-04,12:30,1,,,1/4 of sky,Orion,,,Japan,
205834,GAN,578,35.7642,139.998,28.634,2019-01-05,23:58,2019-01-05,14:58,2,,,clear,Orion,,,Japan,
