ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
245631,GAN,58463,33.3182,131.414,672.933,2021-01-03,11:57,2021-01-03,02:57,3,,,over 1/2 of sky,Taurus,,,Japan
245640,GAN,58486,32.8791,131.993,217.384,2021-01-04,19:45,2021-01-04,10:45,6,,,clear,Taurus,,,Japan
245641,GAN,58487,35.8201,139.566,21.7223,2021-01-04,21:15,2021-01-04,12:15,3,,,clear,Taurus,TONIGHT IS NO WIND.,,Japan
245642,GAN,58488,32.8529,131.681,221.061,2021-01-04,21:10,2021-01-04,12:10,6,,,clear,Taurus,,,Japan
245685,GAN,58567,34.6017,135.001,69.9495,2021-01-04,19:30,2021-01-04,10:30,3,,,clear,Orion,,,Japan
245702,GAN,58604,34.7587,135.36,11.2755,2021-12-20,01:40,2021-12-19,16:40,4,,,1/4 of sky,Perseus,,,Japan
245720,GAN,58626,36.1539,139.396,28.4504,2021-01-04,21:00,2021-01-04,12:00,3,,,clear,Taurus,,,Japan
245753,GAN,58685,34.6736,135.827,78.5729,2021-01-07,23:30,2021-01-07,14:30,2,,,1/4 of sky,Taurus,,,Japan
245754,GAN,58690,36.0835,140.118,24.5189,2021-01-08,19:00,2021-01-08,10:00,4,,,clear,Taurus,,Urban,Japan
245803,GAN,58769,35.3045,133.325,131.964,2021-01-04,20:32,2021-01-04,11:32,4,,,1/4 of sky,Orion,,,Japan
245814,GAN,58781,33.5765,133.714,231.568,2021-01-09,19:48,2021-01-09,10:48,4,,,clear,Orion,,,Japan
245816,GAN,58784,36.1774,140.104,26.3427,2021-01-09,18:44,2021-01-09,09:44,4,,,clear,Taurus,,Rural,Japan
245817,GAN,58785,36.152,140.094,13.6239,2021-01-09,19:17,2021-01-09,10:17,4,,,clear,Taurus,,Rural,Japan
245818,GAN,58786,36.1066,140.09,26.6799,2021-01-09,19:50,2021-01-09,10:50,4,,,clear,Taurus,,Sub urban,Japan
245853,GAN,58834,33.5765,133.714,231.568,2021-01-09,19:48,2021-01-09,10:48,4,,,clear,Orion,,,Japan
245882,SQM,58870,35.8966,139.732,4.65782,2021-01-09,19:10,2021-01-09,10:10,3,17.43,,clear,Orion,,,Japan
245889,GAN,58882,33.5765,133.714,231.568,2021-01-09,19:48,2021-01-09,10:48,4,,,clear,Orion,,,Japan
245898,GAN,58897,32.717,131.277,564.988,2021-01-08,19:50,2021-01-08,10:50,6,,,clear,Orion,,,Japan
245899,GAN,58899,35.11,135.906,107.461,2021-01-10,19:20,2021-01-10,10:20,4,,,clear,Orion,,,Japan
