ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
216259,GAN,14869,35.7741,139.701,24.8475,2020-01-17,20:08,2020-01-17,11:08,-9999,,,1/4 of sky,Taurus,,,Japan
216261,GAN,14871,35.8915,139.497,14.2136,2020-01-17,21:07,2020-01-17,12:07,-9999,,,over 1/2 of sky,Orion,,,Japan
216265,GAN,14877,35.6517,140.073,23.2562,2020-01-17,21:30,2020-01-17,12:30,2,,,1/4 of sky,Orion,,,Japan
216266,GAN,14878,35.9452,139.88,19.3335,2020-01-17,21:31,2020-01-17,12:31,-9999,,,1/2 of sky,Taurus,,,Japan
216267,GAN,14879,35.3263,139.117,45.7397,2020-01-17,21:33,2020-01-17,12:33,2,,,1/4 of sky,Orion,,,Japan
216269,GAN,14881,35.7271,139.752,24.2099,2020-01-17,21:42,2020-01-17,12:42,-9999,,,clear,Orion,,,Japan
216270,GAN,14882,35.7413,139.761,7.8044,2020-01-17,21:42,2020-01-17,12:42,1,,,over 1/2 of sky,Taurus,,,Japan
216271,GAN,14883,35.7807,140.063,24.2446,2020-01-17,21:46,2020-01-17,12:46,2,,,1/4 of sky,Orion,,,Japan
216272,GAN,14884,35.4313,139.416,36.1038,2020-01-17,21:48,2020-01-17,12:48,3,,,1/4 of sky,Perseus,,,Japan
216273,GAN,14885,35.6556,139.314,139.624,2020-01-17,21:49,2020-01-17,12:49,1,,,clear,Orion,,,Japan
216274,GAN,14887,35.7709,139.691,16.8724,2020-01-17,21:55,2020-01-17,12:55,-9999,,,1/4 of sky,Orion,,,Japan
216275,GAN,14888,35.7807,140.063,24.2446,2020-01-17,21:55,2020-01-17,12:55,2,,,1/4 of sky,Orion,,,Japan
216276,GAN,14889,35.7337,139.73,20.9301,2020-01-17,22:24,2020-01-17,13:24,1,,,over 1/2 of sky,Orion,,,Japan
216277,GAN,14890,35.7191,139.749,23.7733,2020-01-17,22:41,2020-01-17,13:41,-9999,,,over 1/2 of sky,Orion,,,Japan
216278,GAN,14891,35.8261,139.947,24.8169,2020-01-17,22:40,2020-01-17,13:40,1,,,over 1/2 of sky,Taurus,,,Japan
216279,GAN,14892,35.3241,139.348,8.92777,2020-01-17,23:21,2020-01-17,14:21,1,,,1/2 of sky,Orion,,,Japan
216280,GAN,14893,35.8484,139.633,9.2684,2020-01-16,23:34,2020-01-16,14:34,1,,,1/4 of sky,Orion,,,Japan
216281,GAN,14894,35.7714,139.944,15.458,2020-01-17,23:37,2020-01-17,14:37,1,,,1/4 of sky,Orion,,,Japan
216282,GAN,14895,35.6115,139.392,143.094,2020-01-17,22:07,2020-01-17,13:07,4,,,1/4 of sky,Orion,,,Japan
216283,GAN,14896,35.8014,139.715,3.94245,2020-01-17,19:30,2020-01-17,10:30,2,,,1/2 of sky,Perseus,,,Japan
