ID,ObsType,ObsDateTime,Latitude,Longitude,Elevation,UTCOffset,LimitingMag,CloudCover,SQMReading,SQMSerial,Constellation,SkyComment,LocationComment,Country
273209,Globe at Night,2022-02-24 05:11:00+00:00,37.3878,140.346,252.704,-540,2,75,,,Orion,,,Japan
273207,Globe at Night,2022-02-24 03:50:00+00:00,35.636,139.928,8.58897,-540,3,-1,,,Orion,,,Japan
273094,Globe at Night,2022-02-23 06:01:00+00:00,37.3878,140.346,252.759,-540,-9999,75,,,Orion,,,Japan
273093,Globe at Night,2022-02-23 05:43:00+00:00,33.3382,131.484,106.91,-540,5,25,,,Orion,,,Japan
273044,Globe at Night,2022-02-21 04:36:00+00:00,35.0802,137.152,64.183,-540,3,-1,,,Orion,,,Japan
272904,Globe at Night,2022-02-01 05:00:00+00:00,33.5355,133.242,104.363,-540,4,25,,,Orion,,,Japan
272903,Globe at Night,2022-02-01 05:10:00+00:00,34.8872,132.076,113.403,-540,4,-1,,,Orion,"The day of observation came off very cleanly.  Until then , it was cloudy.  That day was a sunny day during observation period.",Shimane Prefecture  Hamada City Takezako Town .  Observation  place is ground of the Uminomieru bunka kouen.  It is near the  Shimane Prefectural university.  It is a very comfortable in each of the four seasons.,Japan
272902,Globe at Night,2022-02-01 06:20:00+00:00,34.7893,131.943,8.62759,-540,4,-1,,,Orion,"The day of observation came off very cleanly.  Until then , it was cloudy.  That day was a sunny day during observation period.",Shimane Prefecture  Hamada City Misumi Town .  Observation  place is ground of the Miho machidukuri center.  It is near the  Sea of Japan.  It is a very comfortable in each of the four seasons.,Japan
272806,Globe at Night,2022-02-05 04:00:00+00:00,31.9145,131.434,8.05037,-540,4,-1,,,Orion,,Location Miyazaki Science Center,Japan
272805,Globe at Night,2022-02-05 04:00:00+00:00,31.9617,131.465,21.8628,-540,4,-1,,,Orion,,Location Awakigahara forest park    Shimin no Mori,Japan
272801,Globe at Night,2022-01-27 04:00:00+00:00,33.4771,133.004,1350.02,-540,4,25,,,Orion,,,Japan
272784,Globe at Night,2022-02-01 07:41:00+00:00,26.13,127.682,30.0635,-540,3,-1,,,Orion,,,Japan
272761,Globe at Night,2022-02-07 06:31:00+00:00,35.576,139.358,129.241,-540,1,25,,,Orion,,,Japan
272755,Globe at Night,2022-02-02 06:00:00+00:00,40.2708,141.314,132.743,-540,3,-1,,,Orion,,,Japan
272700,Globe at Night,2022-02-01 07:41:00+00:00,26.13,127.682,30.0635,-540,3,-1,,,Orion,,,Japan
272699,Globe at Night,2022-02-01 07:41:00+00:00,26.13,127.682,30.0635,-540,3,-1,,,Orion,,,Japan
272698,Globe at Night,2022-02-02 05:26:00+00:00,36.2841,138.924,151.526,-540,3,-1,,,Orion,,,Japan
272506,Globe at Night,2022-02-03 03:30:00+00:00,35.6085,139.561,44.4907,-540,3,-1,,,Orion,,,Japan
272501,Globe at Night,2022-02-03 05:15:00+00:00,35.7497,139.713,32.5126,-540,2,-1,,,Orion,,,Japan
272499,Globe at Night,2022-02-03 08:55:00+00:00,35.7304,140.108,15.1206,-540,1,-1,,,Orion,,,Japan
272496,Globe at Night,2022-02-03 09:44:00+00:00,35.7778,139.722,7.76902,-540,-9999,-1,,,Orion,,,Japan
272495,Globe at Night,2022-02-03 04:51:00+00:00,35.7877,139.863,5.87624,-540,3,-1,,,Orion,,,Japan
272493,Globe at Night,2022-02-03 07:30:00+00:00,35.6761,139.653,46.4033,-540,-9999,75,,,Orion,,,Japan
272491,Globe at Night,2022-02-03 08:30:00+00:00,35.6725,139.807,4.01016,-540,1,-1,,,Orion,,,Japan
272490,Globe at Night,2022-02-03 08:31:00+00:00,36.5952,139.86,151.842,-540,3,25,,,Orion,,,Japan
272489,Globe at Night,2022-02-03 08:30:00+00:00,35.694,139.754,6.61558,-540,-9999,25,,,Orion,,,Japan
272488,Globe at Night,2022-02-03 08:11:00+00:00,32.7878,130.644,5.80081,-540,2,50,,,Orion,,,Japan
272487,Globe at Night,2022-02-03 07:20:00+00:00,35.7923,139.673,4.05727,-540,1,25,,,Orion,,,Japan
272486,Globe at Night,2022-02-03 07:20:00+00:00,35.7923,139.673,4.05727,-540,1,25,,,Orion,,,Japan
272485,Globe at Night,2022-02-03 07:17:00+00:00,35.8665,139.659,13.9818,-540,1,-1,,,Orion,,,Japan
272484,Globe at Night,2022-02-03 07:12:00+00:00,35.8877,139.777,4.46786,-540,3,-1,,,Orion,,,Japan
272483,Globe at Night,2022-02-03 07:10:00+00:00,35.7095,139.805,4.54987,-540,2,-1,,,Orion,,,Japan
272482,Globe at Night,2022-02-03 07:07:00+00:00,35.8085,139.695,5.99626,-540,2,-1,,,Orion,,,Japan
272481,Globe at Night,2022-02-03 07:01:00+00:00,35.6163,139.563,25.3937,-540,2,-1,,,Orion,,,Japan
272480,Globe at Night,2022-02-03 07:02:00+00:00,35.5695,139.34,113.287,-540,3,25,,,Orion,,,Japan
272479,Globe at Night,2022-02-03 06:55:00+00:00,35.5618,139.417,94.1983,-540,2,-1,,,Orion,,,Japan
272476,Globe at Night,2022-02-03 06:50:00+00:00,35.3005,139.858,13.7429,-540,1,-1,,,Orion,,,Japan
